X,Y,Universe,Channel,Name
67,67,3,114,"RGB_light #0531"
67,68,3,117,"RGB_light #0532"
61,61,2,408,"RGB_light #0533"
62,61,2,411,"RGB_light #0534"
63,61,2,414,"RGB_light #0535"
64,61,2,417,"RGB_light #0536"
65,61,2,420,"RGB_light #0537"
66,61,2,423,"RGB_light #0538"
67,61,2,426,"RGB_light #0539"
68,61,2,429,"RGB_light #0540"
69,61,2,432,"RGB_light #0541"
70,61,2,435,"RGB_light #0542"
71,61,2,438,"RGB_light #0543"
72,61,2,441,"RGB_light #0544"
61,60,2,372,"RGB_light #0545"
62,60,2,375,"RGB_light #0546"
63,60,2,378,"RGB_light #0547"
64,60,2,381,"RGB_light #0548"
65,60,2,384,"RGB_light #0549"
66,60,2,387,"RGB_light #0550"
67,60,2,390,"RGB_light #0551"
68,60,2,393,"RGB_light #0552"
69,60,2,396,"RGB_light #0553"
70,60,2,399,"RGB_light #0554"
71,60,2,402,"RGB_light #0555"
72,60,2,405,"RGB_light #0556"
65,54,2,318,"RGB_light #0557"
59,59,2,321,"RGB_light #0558"
60,59,2,324,"RGB_light #0559"
61,59,2,327,"RGB_light #0560"
62,59,2,330,"RGB_light #0561"
63,59,2,333,"RGB_light #0562"
64,59,2,336,"RGB_light #0563"
65,59,2,339,"RGB_light #0564"
66,59,2,342,"RGB_light #0565"
67,59,2,345,"RGB_light #0566"
68,59,2,348,"RGB_light #0567"
69,59,2,351,"RGB_light #0568"
70,59,2,354,"RGB_light #0569"
71,59,2,357,"RGB_light #0570"
72,59,2,360,"RGB_light #0571"
73,59,2,363,"RGB_light #0572"
74,59,2,366,"RGB_light #0573"
75,59,2,369,"RGB_light #0574"
59,58,2,261,"RGB_light #0575"
60,58,2,264,"RGB_light #0576"
61,58,2,267,"RGB_light #0577"
62,58,2,270,"RGB_light #0578"
63,58,2,273,"RGB_light #0579"
64,58,2,276,"RGB_light #0580"
65,58,2,279,"RGB_light #0581"
66,58,2,282,"RGB_light #0582"
67,58,2,285,"RGB_light #0583"
68,58,2,288,"RGB_light #0584"
69,58,2,291,"RGB_light #0585"
70,58,2,294,"RGB_light #0586"
71,58,2,297,"RGB_light #0587"
72,58,2,300,"RGB_light #0588"
73,58,2,303,"RGB_light #0589"
74,58,2,306,"RGB_light #0590"
75,58,2,309,"RGB_light #0591"
76,58,2,312,"RGB_light #0592"
77,58,2,315,"RGB_light #0593"
58,57,2,201,"RGB_light #0594"
59,57,2,204,"RGB_light #0595"
60,57,2,207,"RGB_light #0596"
61,57,2,210,"RGB_light #0597"
62,57,2,213,"RGB_light #0598"
63,57,2,216,"RGB_light #0599"
64,57,2,219,"RGB_light #0600"
65,57,2,222,"RGB_light #0601"
66,57,2,225,"RGB_light #0602"
67,57,2,228,"RGB_light #0603"
68,57,2,231,"RGB_light #0604"
69,57,2,234,"RGB_light #0605"
70,57,2,237,"RGB_light #0606"
71,57,2,240,"RGB_light #0607"
72,57,2,243,"RGB_light #0608"
73,57,2,246,"RGB_light #0609"
74,57,2,249,"RGB_light #0610"
75,57,2,252,"RGB_light #0611"
76,57,2,255,"RGB_light #0612"
77,57,2,258,"RGB_light #0613"
57,56,2,135,"RGB_light #0614"
58,56,2,138,"RGB_light #0615"
59,56,2,141,"RGB_light #0616"
60,56,2,144,"RGB_light #0617"
61,56,2,147,"RGB_light #0618"
62,56,2,150,"RGB_light #0619"
63,56,2,153,"RGB_light #0620"
64,56,2,156,"RGB_light #0621"
65,56,2,159,"RGB_light #0622"
66,56,2,162,"RGB_light #0623"
67,56,2,165,"RGB_light #0624"
68,56,2,168,"RGB_light #0625"
69,56,2,171,"RGB_light #0626"
70,56,2,174,"RGB_light #0627"
71,56,2,177,"RGB_light #0628"
72,56,2,180,"RGB_light #0629"
73,56,2,183,"RGB_light #0630"
74,56,2,186,"RGB_light #0631"
75,56,2,189,"RGB_light #0632"
76,56,2,192,"RGB_light #0633"
77,56,2,195,"RGB_light #0634"
78,56,2,198,"RGB_light #0635"
56,55,2,69,"RGB_light #0636"
57,55,2,72,"RGB_light #0637"
58,55,2,75,"RGB_light #0638"
59,55,2,78,"RGB_light #0639"
60,55,2,81,"RGB_light #0640"
61,55,2,84,"RGB_light #0641"
62,55,2,87,"RGB_light #0642"
63,55,2,90,"RGB_light #0643"
